Date,Tube ID,Sample ID,Picture ID,Scale,Length,Width,Area,Notes,,,,,,,
3/8/16,M4,M4_L11,M4_L1toL20,1.001,0.123,0.099,0.011,,,,,,,,
3/8/16,M4,M4_L12,M4_L1toL20,1.001,0.128,0.096,0.01,,,,,,,,
3/8/16,M4,M4_L13,M4_L1toL20,1.001,0.134,0.107,0.013,,,,,,,,
3/8/16,M4,M4_L14,M4_L1toL20,1.001,0.136,0.107,0.012,,,,,,,,
3/8/16,M4,M4_L15,M4_L1toL20,1.001,0.126,0.097,0.011,,,,,,,,
3/8/16,M4,M4_L16,M4_L1toL20,1.001,0.119,0.1,0.009,,,,,,,,
3/8/16,M4,M4_L17,M4_L1toL20,1.001,0.132,0.098,0.01,,,,,,,,
3/8/16,M4,M4_L18,M4_L1toL20,1.001,0.135,0.105,0.011,,,,,,,,
3/8/16,M4,M4_L19,M4_L1toL20,1.001,0.135,0.103,0.011,,,,,,,,
3/8/16,M4,M4_L20,M4_L1toL20,1.001,0.131,0.095,0.01,,,,,,,,
3/8/16,M5,M5_L1,M5_L1toL4,1.029,0.146,0.103,0.012,,,,,,,,
3/8/16,M5,M5_L2,M5_L1toL4,1.029,0.109,0.1,0.01,,,,,,,,
3/8/16,M5,M5_L3,M5_L1toL4,1.029,0.122,0.108,0.01,,,,,,,,
3/8/16,M5,M5_L4,M5_L1toL4,1.029,0.149,0.106,0.012,,,,,,,,
3/8/16,M5,M5_L5,M5_L5toL9,1.004,0.097,0.103,0.009,oddly shaped - kind of round,,,,,,,
3/8/16,M5,M5_L6,M5_L5toL9,1.004,0.142,0.104,0.012,,,,,,,,
3/8/16,M5,M5_L7,M5_L5toL9,1.004,0.129,0.098,0.01,,,,,,,,
3/8/16,M5,M5_L8,M5_L5toL9,1.004,0.123,0.109,0.011,,,,,,,,
3/8/16,M5,M5_L9,M5_L5toL9,1.004,0.134,0.096,0.011,,,,,,,,
3/8/16,M5,M5_L10,M5_L10toL13,1.008,0.131,0.095,0.01,,,,,,,,
3/8/16,M5,M5_L11,M5_L10toL13,1.008,0.116,0.105,0.011,,,,,,,,
3/8/16,M5,M5_L12,M5_L10toL13,1.008,0.127,0.096,0.01,,,,,,,,
3/8/16,M5,M5_L13,M5_L10toL13,1.008,0.123,0.096,0.01,,,,,,,,
3/8/16,M5,M5_L14,M5_L14toL16,1.016,0.138,0.108,0.012,,,,,,,,
3/8/16,M5,M5_L15,M5_L14toL16,1.016,0.128,0.109,0.012,,,,,,,,
3/8/16,M5,M5_L16,M5_L14toL16,1.016,0.133,0.11,0.012,,,,,,,,
3/8/16,M5,M5_L17,M5_L17toL20,1.016,0.132,0.11,0.012,,,,,,,,
3/8/16,M5,M5_L18,M5_L17toL20,1.016,0.128,0.1,0.011,,,,,,,,
3/8/16,M5,M5_L19,M5_L17toL20,1.016,0.124,0.095,0.01,,,,,,,,
3/8/16,M5,M5_L20,M5_L17toL20,1.016,0.149,0.108,0.013,a little squashed,,,,,,,
3/10/16,M6,M6_L1,M6_L1toL8,1.011,0.134,0.109,0.012,,,,,,,,
