"Treatment","pCO2","pH","Temperature","Salinity","TA","DIC","pCO2.se","pH.se","Temperature.se","Salinity.se","TA.se","DIC.se"
"pH 7.28",173.174736607654,0,13.8666666666667,27.4333333333333,4279.18611652396,4295.43898688355,0.817090431647553,0,0.0317979733805647,0.0333333333333338,16.0980785404344,16.1642124283008
"pH 7.41",75.1981143763883,0,13.86,27.4208333333333,1857.76845623056,1864.80664377448,1.20071795687871,0,0.0484169691177662,0.0208333333333333,30.2082165393279,30.322075804223
"pH 7.90",22.3773910110909,0,13.8861904761905,27.4047619047619,553.158561342498,555.250753953889,0.147622918413328,0,0.048223073861044,0.0243742550325138,3.35641805857169,3.36932189919194
